Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
time_since_T_high,150,0.05800608,0.22656334586175425,0.9999999999999999,IBS_N
High Gain Antenna elevation,150,0.02266549,0.08852812067280072,0.9999999999999999,IBS_N
Electronic Box Temperature,160,0.13820146,0.5738246144396577,1.0,IBS_N
time_since_T_high,160,0.061522525,0.25544693368274984,1.0,IBS_N
Search Coil Magnetometer Temperature,160,0.0124035515,0.051500636514042165,1.0,IBS_N
High Gain Antenna elevation,160,0.028715147,0.11922781536355039,1.0,IBS_N
Radial Distance from Sun,170,0.035936616,0.12710501741532776,0.9999999999999999,IBS_N
Electronic Box Temperature,170,0.13343611,0.47195314899387275,0.9999999999999999,IBS_N
In Board Sensor Temperature,170,0.032922294,0.11644359480654885,0.9999999999999999,IBS_N
time_since_T_high,170,0.05362997,0.18968503519734595,0.9999999999999999,IBS_N
High Gain Antenna elevation,170,0.026806697,0.09481320358690463,0.9999999999999999,IBS_N
Electronic Box Temperature,180,0.13848945,0.5392754268302712,1.0,IBS_N
In Board Sensor Temperature,180,0.031082168,0.12103340301380502,1.0,IBS_N
time_since_T_high,180,0.05989159,0.23321677399104124,1.0,IBS_N
High Gain Antenna elevation,180,0.02734332,0.10647439616488255,1.0,IBS_N
Electronic Box Temperature,190,0.1421763,0.546203486554685,1.0,IBS_N
In Board Sensor Temperature,190,0.032312017,0.1241341654200753,1.0,IBS_N
time_since_T_high,190,0.056844737,0.21838234320125158,1.0,IBS_N
High Gain Antenna elevation,190,0.02896609,0.11128000482398821,1.0,IBS_N
Radial Distance from Sun,200,0.033786323,0.11931992305962148,1.0,IBS_N
Electronic Box Temperature,200,0.13372554,0.47226568999255514,1.0,IBS_N
In Board Sensor Temperature,200,0.035895195,0.12676762444999148,1.0,IBS_N
time_since_T_high,200,0.054406952,0.19214382478225048,1.0,IBS_N
High Gain Antenna elevation,200,0.025343422,0.08950293771558149,1.0,IBS_N
Radial Distance from Sun,210,0.039658893,0.14244294874056032,0.9999999999999999,IBS_N
Electronic Box Temperature,210,0.13250129,0.4759052265913755,0.9999999999999999,IBS_N
In Board Sensor Temperature,210,0.03408569,0.12242566108581572,0.9999999999999999,IBS_N
time_since_T_high,210,0.04781365,0.17173241058566843,0.9999999999999999,IBS_N
High Gain Antenna elevation,210,0.024359966,0.08749375299657991,0.9999999999999999,IBS_N
