Feature,Duration,SHAP_value,Type
Search Coil Magnetometer's Temperature,120,0.07180776,IBS_N
Solar Array's Angle,120,0.0057532205,IBS_N
High Gain Antenna Azimuth,120,0.22547057,IBS_N
High Gain Antenna Elevation,120,0.1214165,IBS_N
Radial Distance from Sun,130,0.050273854,IBS_N
Electronic Box Temperature,130,0.3306891,IBS_N
Out Board Sensor Temperature,130,0.034009505,IBS_N
In Board Sensor Temperature,130,0.032627106,IBS_N
Out Board Sensor minus In Board Sensor Temp.,130,0.111280605,IBS_N
Heater Dutycycle,130,0.014074557,IBS_N
Search Coil Magnetometer's Temperature,130,0.07138937,IBS_N
Solar Array's Angle,130,0.005176987,IBS_N
High Gain Antenna Azimuth,130,0.22246194,IBS_N
High Gain Antenna Elevation,130,0.12801693,IBS_N
Radial Distance from Sun,140,0.049977224,IBS_N
Electronic Box Temperature,140,0.29944462,IBS_N
Out Board Sensor Temperature,140,0.037731506,IBS_N
In Board Sensor Temperature,140,0.02167422,IBS_N
Out Board Sensor minus In Board Sensor Temp.,140,0.11607871,IBS_N
Heater Dutycycle,140,0.018205602,IBS_N
Search Coil Magnetometer's Temperature,140,0.06953866,IBS_N
High Gain Antenna Azimuth,140,0.23889299,IBS_N
High Gain Antenna Elevation,140,0.13092445,IBS_N
Radial Distance from Sun,150,0.051486436,IBS_N
Electronic Box Temperature,150,0.24842218,IBS_N
Out Board Sensor Temperature,150,0.050996125,IBS_N
In Board Sensor Temperature,150,0.025251905,IBS_N
Out Board Sensor minus In Board Sensor Temp.,150,0.100558266,IBS_N
Heater Dutycycle,150,0.015522773,IBS_N
Search Coil Magnetometer's Temperature,150,0.06623412,IBS_N
High Gain Antenna Azimuth,150,0.28565544,IBS_N
High Gain Antenna Elevation,150,0.1357233,IBS_N
Radial Distance from Sun,160,0.04570199,IBS_N
Electronic Box Temperature,160,0.27464014,IBS_N
Out Board Sensor Temperature,160,0.05003739,IBS_N
In Board Sensor Temperature,160,0.026222339,IBS_N
Out Board Sensor minus In Board Sensor Temp.,160,0.10259982,IBS_N
Heater Dutycycle,160,0.022217538,IBS_N
Search Coil Magnetometer's Temperature,160,0.07195699,IBS_N
High Gain Antenna Azimuth,160,0.2540938,IBS_N
High Gain Antenna Elevation,160,0.13213758,IBS_N
Radial Distance from Sun,170,0.050941408,IBS_N
Electronic Box Temperature,170,0.26390395,IBS_N
In Board Sensor Temperature,170,0.031196667,IBS_N
Out Board Sensor minus In Board Sensor Temp.,170,0.104495786,IBS_N
Heater Dutycycle,170,0.026839476,IBS_N
Search Coil Magnetometer's Temperature,170,0.06981103,IBS_N
Solar Array's Angle,170,0.0040112156,IBS_N
High Gain Antenna Azimuth,170,0.27380568,IBS_N
High Gain Antenna Elevation,170,0.14935313,IBS_N
Radial Distance from Sun,180,0.041709326,IBS_N
Electronic Box Temperature,180,0.2536616,IBS_N
Out Board Sensor Temperature,180,0.03611661,IBS_N
In Board Sensor Temperature,180,0.027951116,IBS_N
Out Board Sensor minus In Board Sensor Temp.,180,0.11902044,IBS_N
Heater Dutycycle,180,0.020202808,IBS_N
Search Coil Magnetometer's Temperature,180,0.06864456,IBS_N
Solar Array's Angle,180,0.0037829184,IBS_N
High Gain Antenna Azimuth,180,0.28392828,IBS_N
