Feature,Duration,SHAP_value,Type
Solar Array's Angle,260,0.02602753,IBS_R
High Gain Antenna Azimuth,260,0.04920903,IBS_R
High Gain Antenna Elevation,260,0.15173756,IBS_R
Radial Distance from Sun,270,0.12081164,IBS_R
Electronic Box Temperature,270,0.28501534,IBS_R
Out Board Sensor Temperature,270,0.07965893,IBS_R
In Board Sensor Temperature,270,0.09229844,IBS_R
Out Board Sensor minus In Board Sensor Temp.,270,0.04810902,IBS_R
Heater Dutycycle,270,0.05096552,IBS_R
Search Coil Magnetometer's Temperature,270,0.084247805,IBS_R
Solar Array's Angle,270,0.029426256,IBS_R
High Gain Antenna Azimuth,270,0.052726902,IBS_R
High Gain Antenna Elevation,270,0.15674019,IBS_R
Radial Distance from Sun,280,0.118884966,IBS_R
Electronic Box Temperature,280,0.28840423,IBS_R
Out Board Sensor Temperature,280,0.08130414,IBS_R
In Board Sensor Temperature,280,0.087218165,IBS_R
Out Board Sensor minus In Board Sensor Temp.,280,0.06486278,IBS_R
Heater Dutycycle,280,0.044217836,IBS_R
Search Coil Magnetometer's Temperature,280,0.08473193,IBS_R
Solar Array's Angle,280,0.03519519,IBS_R
High Gain Antenna Azimuth,280,0.054312903,IBS_R
High Gain Antenna Elevation,280,0.14086784,IBS_R
Radial Distance from Sun,290,0.12082652,IBS_R
Electronic Box Temperature,290,0.28395614,IBS_R
Out Board Sensor Temperature,290,0.07987065,IBS_R
In Board Sensor Temperature,290,0.09409561,IBS_R
Out Board Sensor minus In Board Sensor Temp.,290,0.05978706,IBS_R
Heater Dutycycle,290,0.03902901,IBS_R
Search Coil Magnetometer's Temperature,290,0.0859038,IBS_R
Solar Array's Angle,290,0.0366536,IBS_R
High Gain Antenna Azimuth,290,0.058225337,IBS_R
High Gain Antenna Elevation,290,0.14165235,IBS_R
Radial Distance from Sun,300,0.11655734,IBS_R
Electronic Box Temperature,300,0.28004915,IBS_R
Out Board Sensor Temperature,300,0.08176501,IBS_R
In Board Sensor Temperature,300,0.090780295,IBS_R
Out Board Sensor minus In Board Sensor Temp.,300,0.05130634,IBS_R
Heater Dutycycle,300,0.044557493,IBS_R
Search Coil Magnetometer's Temperature,300,0.09413611,IBS_R
Solar Array's Angle,300,0.02662587,IBS_R
High Gain Antenna Azimuth,300,0.062270693,IBS_R
High Gain Antenna Elevation,300,0.15195169,IBS_R
Radial Distance from Sun,310,0.1302497,IBS_R
Electronic Box Temperature,310,0.2824307,IBS_R
Out Board Sensor Temperature,310,0.08106171,IBS_R
In Board Sensor Temperature,310,0.08738233,IBS_R
Out Board Sensor minus In Board Sensor Temp.,310,0.03718232,IBS_R
Heater Dutycycle,310,0.04716436,IBS_R
Search Coil Magnetometer's Temperature,310,0.0731458,IBS_R
Solar Array's Angle,310,0.075399935,IBS_R
High Gain Antenna Azimuth,310,0.054749038,IBS_R
High Gain Antenna Elevation,310,0.1312341,IBS_R
Radial Distance from Sun,320,0.121365376,IBS_R
Electronic Box Temperature,320,0.28202456,IBS_R
Out Board Sensor Temperature,320,0.080923714,IBS_R
In Board Sensor Temperature,320,0.085027516,IBS_R
Out Board Sensor minus In Board Sensor Temp.,320,0.050128534,IBS_R
Heater Dutycycle,320,0.04955309,IBS_R
Search Coil Magnetometer's Temperature,320,0.08115255,IBS_R
Solar Array's Angle,320,0.049100645,IBS_R
High Gain Antenna Azimuth,320,0.05809823,IBS_R
High Gain Antenna Elevation,320,0.14262591,IBS_R
Radial Distance from Sun,330,0.14451174,IBS_R
Electronic Box Temperature,330,0.24794582,IBS_R
Out Board Sensor Temperature,330,0.08538107,IBS_R
In Board Sensor Temperature,330,0.07234181,IBS_R
Out Board Sensor minus In Board Sensor Temp.,330,0.04486661,IBS_R
Heater Dutycycle,330,0.03940574,IBS_R
Search Coil Magnetometer's Temperature,330,0.056441776,IBS_R
Solar Array's Angle,330,0.11185317,IBS_R
High Gain Antenna Azimuth,330,0.08880582,IBS_R
High Gain Antenna Elevation,330,0.108446434,IBS_R
Radial Distance from Sun,340,0.12928206,IBS_R
Electronic Box Temperature,340,0.2518923,IBS_R
Out Board Sensor Temperature,340,0.07931783,IBS_R
In Board Sensor Temperature,340,0.079344705,IBS_R
Out Board Sensor minus In Board Sensor Temp.,340,0.052322213,IBS_R
Heater Dutycycle,340,0.053485543,IBS_R
Search Coil Magnetometer's Temperature,340,0.050777283,IBS_R
Solar Array's Angle,340,0.09035831,IBS_R
High Gain Antenna Azimuth,340,0.09270851,IBS_R
High Gain Antenna Elevation,340,0.12051117,IBS_R
Radial Distance from Sun,350,0.1487183,IBS_R
Electronic Box Temperature,350,0.23933339,IBS_R
Out Board Sensor Temperature,350,0.09099485,IBS_R
In Board Sensor Temperature,350,0.07712347,IBS_R
Out Board Sensor minus In Board Sensor Temp.,350,0.04476281,IBS_R
Heater Dutycycle,350,0.045605678,IBS_R
Search Coil Magnetometer's Temperature,350,0.035989616,IBS_R
Solar Array's Angle,350,0.123472795,IBS_R
High Gain Antenna Azimuth,350,0.098773696,IBS_R
High Gain Antenna Elevation,350,0.09522545,IBS_R
Radial Distance from Sun,360,0.14313738,IBS_R
Electronic Box Temperature,360,0.24491528,IBS_R
Out Board Sensor Temperature,360,0.08283167,IBS_R
In Board Sensor Temperature,360,0.07429783,IBS_R
Out Board Sensor minus In Board Sensor Temp.,360,0.050472353,IBS_R
Heater Dutycycle,360,0.040103175,IBS_R
Search Coil Magnetometer's Temperature,360,0.05487271,IBS_R
Solar Array's Angle,360,0.11084471,IBS_R
High Gain Antenna Azimuth,360,0.0999656,IBS_R
High Gain Antenna Elevation,360,0.09855928,IBS_R
Radial Distance from Sun,370,0.13620195,IBS_R
Electronic Box Temperature,370,0.24113953,IBS_R
Out Board Sensor Temperature,370,0.08110208,IBS_R
In Board Sensor Temperature,370,0.06832588,IBS_R
Out Board Sensor minus In Board Sensor Temp.,370,0.06244149,IBS_R
Heater Dutycycle,370,0.045939215,IBS_R
Search Coil Magnetometer's Temperature,370,0.052232806,IBS_R
Solar Array's Angle,370,0.10739476,IBS_R
High Gain Antenna Azimuth,370,0.10689964,IBS_R
High Gain Antenna Elevation,370,0.09832263,IBS_R
Radial Distance from Sun,380,0.14213008,IBS_R
Electronic Box Temperature,380,0.23622443,IBS_R
Out Board Sensor Temperature,380,0.08735188,IBS_R
In Board Sensor Temperature,380,0.07512479,IBS_R
Out Board Sensor minus In Board Sensor Temp.,380,0.04792971,IBS_R
Heater Dutycycle,380,0.05570381,IBS_R
Search Coil Magnetometer's Temperature,380,0.03853601,IBS_R
Solar Array's Angle,380,0.122154534,IBS_R
High Gain Antenna Azimuth,380,0.10464831,IBS_R
High Gain Antenna Elevation,380,0.09019638,IBS_R
Radial Distance from Sun,390,0.14653198,IBS_R
Electronic Box Temperature,390,0.23239228,IBS_R
Out Board Sensor Temperature,390,0.08178006,IBS_R
In Board Sensor Temperature,390,0.07427329,IBS_R
Out Board Sensor minus In Board Sensor Temp.,390,0.05310053,IBS_R
Heater Dutycycle,390,0.050564166,IBS_R
Search Coil Magnetometer's Temperature,390,0.04370744,IBS_R
Solar Array's Angle,390,0.11583694,IBS_R
High Gain Antenna Azimuth,390,0.105817795,IBS_R
High Gain Antenna Elevation,390,0.095995426,IBS_R
Radial Distance from Sun,400,0.13496345,IBS_R
Electronic Box Temperature,400,0.23989022,IBS_R
Out Board Sensor Temperature,400,0.08917621,IBS_R
In Board Sensor Temperature,400,0.05964076,IBS_R
Out Board Sensor minus In Board Sensor Temp.,400,0.06630512,IBS_R
Heater Dutycycle,400,0.037624646,IBS_R
Search Coil Magnetometer's Temperature,400,0.04870407,IBS_R
Solar Array's Angle,400,0.1047622,IBS_R
High Gain Antenna Azimuth,400,0.12638709,IBS_R
High Gain Antenna Elevation,400,0.092546314,IBS_R
Radial Distance from Sun,410,0.13415742,IBS_R
Electronic Box Temperature,410,0.23755336,IBS_R
Out Board Sensor Temperature,410,0.112965696,IBS_R
In Board Sensor Temperature,410,0.046107292,IBS_R
Out Board Sensor minus In Board Sensor Temp.,410,0.05899128,IBS_R
Heater Dutycycle,410,0.030450772,IBS_R
Search Coil Magnetometer's Temperature,410,0.053302385,IBS_R
Solar Array's Angle,410,0.100262575,IBS_R
High Gain Antenna Azimuth,410,0.14006332,IBS_R
High Gain Antenna Elevation,410,0.086145915,IBS_R
Radial Distance from Sun,420,0.12847072,IBS_R
Electronic Box Temperature,420,0.2482542,IBS_R
Out Board Sensor Temperature,420,0.10522302,IBS_R
In Board Sensor Temperature,420,0.049899627,IBS_R
Out Board Sensor minus In Board Sensor Temp.,420,0.05688545,IBS_R
Heater Dutycycle,420,0.037567593,IBS_R
Search Coil Magnetometer's Temperature,420,0.044457335,IBS_R
Solar Array's Angle,420,0.10979844,IBS_R
High Gain Antenna Azimuth,420,0.11860835,IBS_R
High Gain Antenna Elevation,420,0.1008353,IBS_R
Radial Distance from Sun,430,0.11776536,IBS_R
Electronic Box Temperature,430,0.23531069,IBS_R
Out Board Sensor Temperature,430,0.11538305,IBS_R
In Board Sensor Temperature,430,0.052780416,IBS_R
Out Board Sensor minus In Board Sensor Temp.,430,0.07049246,IBS_R
Heater Dutycycle,430,0.039564013,IBS_R
Search Coil Magnetometer's Temperature,430,0.06414869,IBS_R
Solar Array's Angle,430,0.07420567,IBS_R
High Gain Antenna Azimuth,430,0.1411413,IBS_R
High Gain Antenna Elevation,430,0.08920839,IBS_R
Radial Distance from Sun,440,0.14445145,IBS_R
Electronic Box Temperature,440,0.22487152,IBS_R
Out Board Sensor Temperature,440,0.11151924,IBS_R
In Board Sensor Temperature,440,0.050978582,IBS_R
Out Board Sensor minus In Board Sensor Temp.,440,0.066135645,IBS_R
Heater Dutycycle,440,0.032856878,IBS_R
Search Coil Magnetometer's Temperature,440,0.03945868,IBS_R
Solar Array's Angle,440,0.116263516,IBS_R
High Gain Antenna Azimuth,440,0.13161054,IBS_R
High Gain Antenna Elevation,440,0.08185399,IBS_R
Radial Distance from Sun,450,0.1370764,IBS_R
Electronic Box Temperature,450,0.21810308,IBS_R
Out Board Sensor Temperature,450,0.115407504,IBS_R
In Board Sensor Temperature,450,0.04731166,IBS_R
Out Board Sensor minus In Board Sensor Temp.,450,0.06176909,IBS_R
Heater Dutycycle,450,0.036306456,IBS_R
Search Coil Magnetometer's Temperature,450,0.04750488,IBS_R
Solar Array's Angle,450,0.11313335,IBS_R
High Gain Antenna Azimuth,450,0.14617053,IBS_R
High Gain Antenna Elevation,450,0.07721714,IBS_R
Radial Distance from Sun,460,0.15254411,IBS_R
Electronic Box Temperature,460,0.21551846,IBS_R
Out Board Sensor Temperature,460,0.11001569,IBS_R
In Board Sensor Temperature,460,0.05637606,IBS_R
Out Board Sensor minus In Board Sensor Temp.,460,0.051879875,IBS_R
Heater Dutycycle,460,0.028872546,IBS_R
Search Coil Magnetometer's Temperature,460,0.03772518,IBS_R
Solar Array's Angle,460,0.1435276,IBS_R
High Gain Antenna Azimuth,460,0.13323076,IBS_R
High Gain Antenna Elevation,460,0.07030973,IBS_R
Radial Distance from Sun,470,0.15795289,IBS_R
Electronic Box Temperature,470,0.22102027,IBS_R
Out Board Sensor Temperature,470,0.11194939,IBS_R
In Board Sensor Temperature,470,0.050272975,IBS_R
Out Board Sensor minus In Board Sensor Temp.,470,0.050075017,IBS_R
Heater Dutycycle,470,0.035678115,IBS_R
Search Coil Magnetometer's Temperature,470,0.0351408,IBS_R
Solar Array's Angle,470,0.146203,IBS_R
High Gain Antenna Azimuth,470,0.13275845,IBS_R
High Gain Antenna Elevation,470,0.058949027,IBS_R
Radial Distance from Sun,480,0.15100455,IBS_R
Electronic Box Temperature,480,0.22251317,IBS_R
Out Board Sensor Temperature,480,0.10549594,IBS_R
In Board Sensor Temperature,480,0.051697344,IBS_R
Out Board Sensor minus In Board Sensor Temp.,480,0.053682666,IBS_R
Heater Dutycycle,480,0.030419813,IBS_R
Search Coil Magnetometer's Temperature,480,0.040742457,IBS_R
Solar Array's Angle,480,0.14977422,IBS_R
High Gain Antenna Azimuth,480,0.13776512,IBS_R
High Gain Antenna Elevation,480,0.056904666,IBS_R
Radial Distance from Sun,490,0.1481786,IBS_R
Electronic Box Temperature,490,0.21420343,IBS_R
Out Board Sensor Temperature,490,0.11434599,IBS_R
In Board Sensor Temperature,490,0.053664107,IBS_R
Out Board Sensor minus In Board Sensor Temp.,490,0.049179435,IBS_R
Heater Dutycycle,490,0.03531118,IBS_R
Search Coil Magnetometer's Temperature,490,0.039189383,IBS_R
Solar Array's Angle,490,0.13607827,IBS_R
High Gain Antenna Azimuth,490,0.14055052,IBS_R
High Gain Antenna Elevation,490,0.06929913,IBS_R
Radial Distance from Sun,500,0.16220517,IBS_R
Electronic Box Temperature,500,0.21760152,IBS_R
Out Board Sensor Temperature,500,0.109437056,IBS_R
In Board Sensor Temperature,500,0.05057407,IBS_R
Out Board Sensor minus In Board Sensor Temp.,500,0.05096675,IBS_R
Heater Dutycycle,500,0.032278437,IBS_R
Search Coil Magnetometer's Temperature,500,0.027239408,IBS_R
Solar Array's Angle,500,0.15113121,IBS_R
High Gain Antenna Azimuth,500,0.14186944,IBS_R
High Gain Antenna Elevation,500,0.05669696,IBS_R
Radial Distance from Sun,510,0.14931947,IBS_R
Electronic Box Temperature,510,0.21669361,IBS_R
Out Board Sensor Temperature,510,0.10959597,IBS_R
In Board Sensor Temperature,510,0.053641334,IBS_R
Out Board Sensor minus In Board Sensor Temp.,510,0.05673927,IBS_R
Heater Dutycycle,510,0.030623222,IBS_R
Search Coil Magnetometer's Temperature,510,0.03982415,IBS_R
Solar Array's Angle,510,0.1415682,IBS_R
High Gain Antenna Azimuth,510,0.14365186,IBS_R
High Gain Antenna Elevation,510,0.058342926,IBS_R
Radial Distance from Sun,520,0.1535876,IBS_R
Electronic Box Temperature,520,0.21379815,IBS_R
Out Board Sensor Temperature,520,0.10605755,IBS_R
In Board Sensor Temperature,520,0.04989091,IBS_R
Out Board Sensor minus In Board Sensor Temp.,520,0.05154626,IBS_R
Heater Dutycycle,520,0.027617645,IBS_R
Search Coil Magnetometer's Temperature,520,0.043958113,IBS_R
Solar Array's Angle,520,0.14266053,IBS_R
High Gain Antenna Azimuth,520,0.14160429,IBS_R
High Gain Antenna Elevation,520,0.06927896,IBS_R
Radial Distance from Sun,530,0.1536745,IBS_R
Electronic Box Temperature,530,0.21618664,IBS_R
Out Board Sensor Temperature,530,0.108790465,IBS_R
In Board Sensor Temperature,530,0.048267193,IBS_R
Out Board Sensor minus In Board Sensor Temp.,530,0.049537983,IBS_R
Heater Dutycycle,530,0.03100608,IBS_R
Search Coil Magnetometer's Temperature,530,0.037588615,IBS_R
Solar Array's Angle,530,0.15122461,IBS_R
High Gain Antenna Azimuth,530,0.13864198,IBS_R
High Gain Antenna Elevation,530,0.06508191,IBS_R
Radial Distance from Sun,600,0.15079384,IBS_R
Electronic Box Temperature,600,0.2069369,IBS_R
Out Board Sensor Temperature,600,0.107572824,IBS_R
In Board Sensor Temperature,600,0.04275089,IBS_R
Out Board Sensor minus In Board Sensor Temp.,600,0.05566698,IBS_R
Heater Dutycycle,600,0.036664173,IBS_R
Search Coil Magnetometer's Temperature,600,0.039927464,IBS_R
Solar Array's Angle,600,0.15206237,IBS_R
High Gain Antenna Azimuth,600,0.15117158,IBS_R
High Gain Antenna Elevation,600,0.056452997,IBS_R
Radial Distance from Sun,610,0.15139191,IBS_R
Electronic Box Temperature,610,0.1815868,IBS_R
Out Board Sensor Temperature,610,0.11179439,IBS_R
In Board Sensor Temperature,610,0.051328536,IBS_R
Out Board Sensor minus In Board Sensor Temp.,610,0.0565116,IBS_R
Heater Dutycycle,610,0.044395745,IBS_R
Search Coil Magnetometer's Temperature,610,0.039598394,IBS_R
Solar Array's Angle,610,0.116827875,IBS_R
High Gain Antenna Azimuth,610,0.1748611,IBS_R
High Gain Antenna Elevation,610,0.07170369,IBS_R
Radial Distance from Sun,620,0.15406948,IBS_R
Electronic Box Temperature,620,0.19266081,IBS_R
Out Board Sensor Temperature,620,0.10493588,IBS_R
In Board Sensor Temperature,620,0.04302824,IBS_R
Out Board Sensor minus In Board Sensor Temp.,620,0.047818962,IBS_R
Heater Dutycycle,620,0.04070986,IBS_R
Search Coil Magnetometer's Temperature,620,0.0379489,IBS_R
Solar Array's Angle,620,0.14814201,IBS_R
High Gain Antenna Azimuth,620,0.15965268,IBS_R
High Gain Antenna Elevation,620,0.071033254,IBS_R
Radial Distance from Sun,630,0.15205464,IBS_R
Electronic Box Temperature,630,0.19857508,IBS_R
Out Board Sensor Temperature,630,0.09995245,IBS_R
In Board Sensor Temperature,630,0.05063251,IBS_R
Out Board Sensor minus In Board Sensor Temp.,630,0.059991606,IBS_R
Heater Dutycycle,630,0.0419276,IBS_R
Search Coil Magnetometer's Temperature,630,0.03735275,IBS_R
Solar Array's Angle,630,0.1334047,IBS_R
High Gain Antenna Azimuth,630,0.15666679,IBS_R
High Gain Antenna Elevation,630,0.06944181,IBS_R
Radial Distance from Sun,640,0.1484464,IBS_R
Electronic Box Temperature,640,0.17939514,IBS_R
Out Board Sensor Temperature,640,0.09967932,IBS_R
In Board Sensor Temperature,640,0.05218086,IBS_R
Out Board Sensor minus In Board Sensor Temp.,640,0.058862876,IBS_R
Heater Dutycycle,640,0.043119997,IBS_R
Search Coil Magnetometer's Temperature,640,0.044521227,IBS_R
Solar Array's Angle,640,0.124132946,IBS_R
High Gain Antenna Azimuth,640,0.18452264,IBS_R
High Gain Antenna Elevation,640,0.06513864,IBS_R
Radial Distance from Sun,650,0.15323114,IBS_R
Electronic Box Temperature,650,0.17198342,IBS_R
Out Board Sensor Temperature,650,0.11117455,IBS_R
In Board Sensor Temperature,650,0.04516943,IBS_R
Out Board Sensor minus In Board Sensor Temp.,650,0.06017583,IBS_R
Heater Dutycycle,650,0.03867706,IBS_R
Search Coil Magnetometer's Temperature,650,0.04173506,IBS_R
Solar Array's Angle,650,0.12297099,IBS_R
High Gain Antenna Azimuth,650,0.19359061,IBS_R
High Gain Antenna Elevation,650,0.061291933,IBS_R
Radial Distance from Sun,660,0.14993884,IBS_R
Electronic Box Temperature,660,0.18057445,IBS_R
Out Board Sensor Temperature,660,0.09668666,IBS_R
In Board Sensor Temperature,660,0.03742381,IBS_R
Out Board Sensor minus In Board Sensor Temp.,660,0.06502248,IBS_R
Heater Dutycycle,660,0.04703583,IBS_R
Search Coil Magnetometer's Temperature,660,0.048088897,IBS_R
Solar Array's Angle,660,0.12234007,IBS_R
High Gain Antenna Azimuth,660,0.18883523,IBS_R
High Gain Antenna Elevation,660,0.06405367,IBS_R
Radial Distance from Sun,670,0.14595267,IBS_R
Electronic Box Temperature,670,0.18440364,IBS_R
Out Board Sensor Temperature,670,0.09720378,IBS_R
In Board Sensor Temperature,670,0.0385171,IBS_R
Out Board Sensor minus In Board Sensor Temp.,670,0.06464019,IBS_R
Heater Dutycycle,670,0.053124107,IBS_R
Search Coil Magnetometer's Temperature,670,0.04148055,IBS_R
Solar Array's Angle,670,0.11951705,IBS_R
High Gain Antenna Azimuth,670,0.19072121,IBS_R
High Gain Antenna Elevation,670,0.06443965,IBS_R
Radial Distance from Sun,680,0.12704071,IBS_R
Electronic Box Temperature,680,0.16314465,IBS_R
Out Board Sensor Temperature,680,0.10557763,IBS_R
In Board Sensor Temperature,680,0.034205057,IBS_R
Out Board Sensor minus In Board Sensor Temp.,680,0.07298104,IBS_R
Heater Dutycycle,680,0.058885172,IBS_R
Search Coil Magnetometer's Temperature,680,0.04675452,IBS_R
Solar Array's Angle,680,0.103514574,IBS_R
High Gain Antenna Azimuth,680,0.21750629,IBS_R
High Gain Antenna Elevation,680,0.07039042,IBS_R
Radial Distance from Sun,690,0.14119989,IBS_R
Electronic Box Temperature,690,0.18183453,IBS_R
Out Board Sensor Temperature,690,0.10698231,IBS_R
In Board Sensor Temperature,690,0.05045381,IBS_R
Out Board Sensor minus In Board Sensor Temp.,690,0.057653584,IBS_R
Heater Dutycycle,690,0.04151451,IBS_R
Search Coil Magnetometer's Temperature,690,0.044966977,IBS_R
Solar Array's Angle,690,0.12613754,IBS_R
High Gain Antenna Azimuth,690,0.18137647,IBS_R
High Gain Antenna Elevation,690,0.06788034,IBS_R
Radial Distance from Sun,700,0.15143391,IBS_R
Electronic Box Temperature,700,0.17069583,IBS_R
Out Board Sensor Temperature,700,0.10226631,IBS_R
Out Board Sensor minus In Board Sensor Temp.,700,0.073917575,IBS_R
Heater Dutycycle,700,0.0531212,IBS_R
Search Coil Magnetometer's Temperature,700,0.0367869,IBS_R
Solar Array's Angle,700,0.12205637,IBS_R
High Gain Antenna Azimuth,700,0.1985903,IBS_R
High Gain Antenna Elevation,700,0.07025443,IBS_R
Radial Distance from Sun,710,0.13045381,IBS_R
Electronic Box Temperature,710,0.1708505,IBS_R
Out Board Sensor Temperature,710,0.114135794,IBS_R
In Board Sensor Temperature,710,0.04534777,IBS_R
Out Board Sensor minus In Board Sensor Temp.,710,0.072779074,IBS_R
Heater Dutycycle,710,0.05103834,IBS_R
Search Coil Magnetometer's Temperature,710,0.041809037,IBS_R
Solar Array's Angle,710,0.105943166,IBS_R
High Gain Antenna Azimuth,710,0.20488816,IBS_R
High Gain Antenna Elevation,710,0.0627543,IBS_R
Radial Distance from Sun,720,0.13941203,IBS_R
Electronic Box Temperature,720,0.16533625,IBS_R
Out Board Sensor Temperature,720,0.10100501,IBS_R
In Board Sensor Temperature,720,0.047526095,IBS_R
Out Board Sensor minus In Board Sensor Temp.,720,0.057988357,IBS_R
Heater Dutycycle,720,0.056688447,IBS_R
Search Coil Magnetometer's Temperature,720,0.04628725,IBS_R
Solar Array's Angle,720,0.11916877,IBS_R
High Gain Antenna Azimuth,720,0.20127504,IBS_R
High Gain Antenna Elevation,720,0.06531281,IBS_R
Radial Distance from Sun,730,0.13322942,IBS_R
Electronic Box Temperature,730,0.1439657,IBS_R
Out Board Sensor Temperature,730,0.10886072,IBS_R
In Board Sensor Temperature,730,0.03577459,IBS_R
Out Board Sensor minus In Board Sensor Temp.,730,0.07341512,IBS_R
Heater Dutycycle,730,0.07232058,IBS_R
Search Coil Magnetometer's Temperature,730,0.044697504,IBS_R
Solar Array's Angle,730,0.1007387,IBS_R
High Gain Antenna Azimuth,730,0.2209682,IBS_R
High Gain Antenna Elevation,730,0.06602948,IBS_R
Radial Distance from Sun,740,0.13655093,IBS_R
Electronic Box Temperature,740,0.161229,IBS_R
Out Board Sensor Temperature,740,0.101473324,IBS_R
In Board Sensor Temperature,740,0.040035684,IBS_R
Out Board Sensor minus In Board Sensor Temp.,740,0.06525888,IBS_R
Heater Dutycycle,740,0.06244733,IBS_R
Search Coil Magnetometer's Temperature,740,0.04345461,IBS_R
Solar Array's Angle,740,0.12238121,IBS_R
High Gain Antenna Azimuth,740,0.19885275,IBS_R
High Gain Antenna Elevation,740,0.06831631,IBS_R
Radial Distance from Sun,750,0.1297708,IBS_R
Electronic Box Temperature,750,0.16769294,IBS_R
Out Board Sensor Temperature,750,0.09486126,IBS_R
In Board Sensor Temperature,750,0.04347903,IBS_R
Out Board Sensor minus In Board Sensor Temp.,750,0.066939875,IBS_R
Heater Dutycycle,750,0.07019087,IBS_R
Search Coil Magnetometer's Temperature,750,0.050375186,IBS_R
Solar Array's Angle,750,0.106152095,IBS_R
High Gain Antenna Azimuth,750,0.1982495,IBS_R
High Gain Antenna Elevation,750,0.07228844,IBS_R
Radial Distance from Sun,760,0.13664183,IBS_R
Electronic Box Temperature,760,0.15073784,IBS_R
Out Board Sensor Temperature,760,0.10644365,IBS_R
In Board Sensor Temperature,760,0.04101358,IBS_R
Out Board Sensor minus In Board Sensor Temp.,760,0.06607289,IBS_R
Heater Dutycycle,760,0.06603176,IBS_R
Search Coil Magnetometer's Temperature,760,0.04926519,IBS_R
Solar Array's Angle,760,0.11553356,IBS_R
High Gain Antenna Azimuth,760,0.20356335,IBS_R
High Gain Antenna Elevation,760,0.06469641,IBS_R
Radial Distance from Sun,770,0.13510776,IBS_R
Electronic Box Temperature,770,0.15337814,IBS_R
Out Board Sensor Temperature,770,0.10165221,IBS_R
In Board Sensor Temperature,770,0.04138613,IBS_R
Out Board Sensor minus In Board Sensor Temp.,770,0.07045179,IBS_R
Heater Dutycycle,770,0.06314444,IBS_R
Search Coil Magnetometer's Temperature,770,0.04164366,IBS_R
Solar Array's Angle,770,0.11825619,IBS_R
High Gain Antenna Azimuth,770,0.21370333,IBS_R
High Gain Antenna Elevation,770,0.06127634,IBS_R
Radial Distance from Sun,780,0.14966206,IBS_R
Electronic Box Temperature,780,0.15613826,IBS_R
Out Board Sensor Temperature,780,0.10211179,IBS_R
In Board Sensor Temperature,780,0.033597376,IBS_R
Out Board Sensor minus In Board Sensor Temp.,780,0.07425065,IBS_R
Heater Dutycycle,780,0.067188896,IBS_R
Search Coil Magnetometer's Temperature,780,0.04546675,IBS_R
Solar Array's Angle,780,0.108795,IBS_R
High Gain Antenna Azimuth,780,0.19837727,IBS_R
High Gain Antenna Elevation,780,0.06441186,IBS_R
Radial Distance from Sun,790,0.13769247,IBS_R
Electronic Box Temperature,790,0.15014122,IBS_R
Out Board Sensor Temperature,790,0.1055312,IBS_R
In Board Sensor Temperature,790,0.037853755,IBS_R
Out Board Sensor minus In Board Sensor Temp.,790,0.06960474,IBS_R
Heater Dutycycle,790,0.06278491,IBS_R
Search Coil Magnetometer's Temperature,790,0.047303665,IBS_R
Solar Array's Angle,790,0.11184096,IBS_R
High Gain Antenna Azimuth,790,0.21221837,IBS_R
High Gain Antenna Elevation,790,0.06502863,IBS_R
Radial Distance from Sun,800,0.12057748,IBS_R
Electronic Box Temperature,800,0.15111019,IBS_R
Out Board Sensor Temperature,800,0.11572649,IBS_R
In Board Sensor Temperature,800,0.04178187,IBS_R
Out Board Sensor minus In Board Sensor Temp.,800,0.07811169,IBS_R
Heater Dutycycle,800,0.061639458,IBS_R
Search Coil Magnetometer's Temperature,800,0.049875364,IBS_R
Solar Array's Angle,800,0.098232664,IBS_R
High Gain Antenna Azimuth,800,0.21781413,IBS_R
High Gain Antenna Elevation,800,0.065130755,IBS_R
Radial Distance from Sun,810,0.13769937,IBS_R
Electronic Box Temperature,810,0.1712427,IBS_R
Out Board Sensor Temperature,810,0.10914612,IBS_R
In Board Sensor Temperature,810,0.044571344,IBS_R
Out Board Sensor minus In Board Sensor Temp.,810,0.06398634,IBS_R
Heater Dutycycle,810,0.054669853,IBS_R
Search Coil Magnetometer's Temperature,810,0.045692794,IBS_R
Solar Array's Angle,810,0.12197575,IBS_R
High Gain Antenna Azimuth,810,0.18570687,IBS_R
High Gain Antenna Elevation,810,0.06530891,IBS_R
Radial Distance from Sun,820,0.13701315,IBS_R
Electronic Box Temperature,820,0.17175429,IBS_R
Out Board Sensor Temperature,820,0.10359843,IBS_R
In Board Sensor Temperature,820,0.041786924,IBS_R
Out Board Sensor minus In Board Sensor Temp.,820,0.06673614,IBS_R
Heater Dutycycle,820,0.056935314,IBS_R
Search Coil Magnetometer's Temperature,820,0.04591234,IBS_R
Solar Array's Angle,820,0.115650065,IBS_R
High Gain Antenna Azimuth,820,0.19230495,IBS_R
High Gain Antenna Elevation,820,0.068308435,IBS_R
Radial Distance from Sun,830,0.14014848,IBS_R
Electronic Box Temperature,830,0.15860657,IBS_R
Out Board Sensor Temperature,830,0.109195374,IBS_R
In Board Sensor Temperature,830,0.04079462,IBS_R
Out Board Sensor minus In Board Sensor Temp.,830,0.0684543,IBS_R
Heater Dutycycle,830,0.053181514,IBS_R
Search Coil Magnetometer's Temperature,830,0.04271784,IBS_R
Solar Array's Angle,830,0.12358017,IBS_R
High Gain Antenna Azimuth,830,0.20461056,IBS_R
High Gain Antenna Elevation,830,0.05871057,IBS_R
